Abditomys latidens,268.363333333,M
Abeillia abeillei,2.7,B
Abeomelomys sevia,54.88,M
Ablepharus bivittatus,4.0,R
Ablepharus budaki,2.0,R
Ablepharus chernovi,3.0,R
Ablepharus darvazi,2.0,R
Ablepharus deserti,4.0,R
Ablepharus grayanus,1.0,R
Ablepharus kitaibelii,4.0,R
Ablepharus lindbergi,2.0,R
Ablepharus pannonicus,3.0,R
Ablepharus rueppellii,3.0,R
Abrawayaomys ruschii,62.9966666667,M
Abrocoma bennettii,250.666666667,M
Abrocoma boliviensis,158.0,M
Abrocoma budini,214.69,M
Abrocoma cinerea,212.546666667,M
Abrocoma famatina,214.69,M
Abrocoma shistacea,214.69,M
Abrocoma uspallata,214.69,M
Abrocoma vaccarum,214.69,M
Abronia anzuetoi,45.0,R
Abronia aurita,34.0,R
Abronia bogerti,10.0,R
Abronia campbelli,36.0,R
Abronia chiszari,6.0,R
Abronia deppii,25.0,R
Abronia fimbriata,39.0,R
Abronia frosti,22.0,R
Abronia fuscolabialis,28.0,R
Abronia gaiophantasma,22.0,R
Abronia graminea,19.0,R
Abronia leurolepis,19.0,R
Abronia lythrochila,30.0,R
Abronia martindelcampoi,25.0,R
Abronia matudai,22.0,R
Abronia meledona,30.0,R
Abronia mitchelli,19.0,R
Abronia mixteca,61.0,R
Abronia montecristoi,12.0,R
Abronia oaxacae,27.0,R
Abronia ochoterenai,24.0,R
Abronia ornelasi,14.0,R
Abronia ramirezi,12.0,R
Abronia reidi,16.0,R
Abronia salvadorensis,13.0,R
Abronia smithi,22.0,R
Abronia taeniata,48.0,R
Abronia vasconcelosii,30.0,R
Abroscopus albogularis,4.84,B
Abroscopus schisticeps,4.7,B
Abroscopus superciliaris,6.48,B
Abrothrix andinus,24.91,M
Abrothrix hershkovitzi,32.42,M
Abrothrix illuteus,47.79,M
Abrothrix jelskii,34.5,M
Abrothrix lanosus,27.83,M
Abrothrix longipilis,38.86,M
Abrothrix markhami,29.03,M
