Acanthorhynchus tenuirostris,10.44,B,2.0,2,2,no
Accipiter brevipes,186.48,B,4.0,4,4,yes
Accipiter cooperii,429.67,B,3.32520325203,3,5,no
Accipiter gentilis,866.04,B,3.33333333333,3,4,no
Accipiter nisus,220.79,B,3.0,3,3,no
Accipiter striatus,130.59,B,3.41025641026,3,5,yes
Accipiter tachiro,381.0,B,3.0,3,3,no
Accipiter trivirgatus,265.04,B,3.0,3,3,no
Aceros corrugatus,1590.0,B,2.0,2,2,no
Acinonyx jubatus,49259.3066667,M,3.0,3,3,no
Acrantophis dumerili,2972.0,R,3.0,3,3,no
Acrantophis madagascariensis,13335.0,R,3.0,3,3,no
Acris blanchardi,3.8,A,3.0,3,3,yes
Acrocephalus baeticatus,10.2,B,2.0,2,2,no
Aechmophorus occidentalis,1136.95,B,4.0,4,4,yes
Aegithina lafresnayei,11.96,B,2.0,2,2,no
Aegolius acadicus,100.69,B,3.33333333333,3,5,yes
Aegolius funereus,137.18,B,3.375,3,5,yes
Aepyceros melampus,52463.9233333,M,2.0,2,2,no
Aethia cristatella,259.36,B,4.33333333333,3,6,yes
Aethia psittacula,269.98,B,3.8,3,4,yes
Agapornis roseicollis,53.83,B,2.0,2,2,no
Agelaius phoeniceus,50.78,B,2.5,2,3,yes
Agkistrodon piscivorus,3334.0,R,3.5,3,4,yes
Aix sponsa,657.59,B,2.0,2,2,no
Akodon paranaensis,31.32,M,2.0,2,2,no
Alcedo atthis,31.09,B,4.0,4,4,yes
Alcelaphus buselaphus,165313.13,M,2.0,2,2,no
Alectoris chukar,502.1,B,2.5,2,3,yes
Alectroenas madagascariensis,173.0,B,2.0,2,2,no
Alectura lathami,2333.06,B,2.0,2,2,no
Alle alle,180.73,B,3.0,3,3,no
Alligator mississippiensis,319890.0,R,3.72727272727,3,4,yes
Alophoixus pallidus,46.0,B,2.0,2,2,no
Alopochen aegyptiaca,1873.0,B,2.0,2,2,no
Alouatta belzebul,6245.97,M,2.0,2,2,no
Alouatta caraya,5676.47333333,M,2.0,2,2,no
Alouatta palliata,6810.64666667,M,2.0,2,2,no
Amandava subflava,7.44,B,2.0,2,2,no
Amaurornis phoenicurus,180.0,B,3.0,3,3,yes
Amazilia brevirostris,4.3,B,2.0,2,2,no
Amazilia versicolor,4.1,B,2.0,2,2,no
Amazona aestiva,451.0,B,2.0,2,2,no
Amazona autumnalis,416.0,B,2.0,2,2,no
Amazona brasiliensis,327.37,B,2.0,2,2,no
Amazona ochrocephala,476.94,B,2.0,2,2,no
Amazona ventralis,214.0,B,2.0,2,2,no
